RN:,CU:,NC:,SR:,CS:,PL:,SC:,ID:,AG:,IA:,GS:,GA:,OD:,NT:,DA:,IP:,AP:,BH:,OS:,NA:,GB:,GC:,OT:,SH:,AU:,LO:,HY:,RC:,RG:,SL:,ST:,AvgdB,MaxdB,AvgAvg,AvgMax,AvgMass,Link if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900200K,147 B56.0 28.99,21B,5120,1.891,Pemtek/ Kay,N,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good long broad pulsed sound with 'pop' at end.,23-Jan-92,,,,,1 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv",,,,,BLAA3B PUAA3B | Moan AA3B,97.4,112,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75003051,1088 B28:00 19:45.849,41A,81600,3.168,Crown-4CH/ K-H L3.7,OTF,,,,Delphinus delphis BD3B | Electrical noise X,ANWBD3B ANWX,8-Sep-1975 BD3B X | SepBD3B 1975BD3B | SepX 1975X,BD3B X Session 2. Clicks; whistles. Electrical noise.,25-Feb-94,,,,,2+ BD3B,"SSE Sable I., Canada BD3B X",N43BD3B W059BD3B,0951 - 1003,Maruffa,WAW,"CD #3, 4 | Shiv",,Perfect array; electrical noise,"WHOI Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,BSBD3B | FMBD3B | NLX | Electrical noise X | Whistles BD3B | Clicks BD3B,41
7900200Q,353 B56.0 40.63,21B,5120,3.687,Pemtek/ Kay,OTF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Approx. 8 pulsed sounds. Cut made from RN 7900200m and cropped for use in Accustat.,19-Aug-02,,,,,2 or 3 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,85.6,104.1,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87003006,105 B23.7 20.89,21B,81920,1.891,Pemtek/ Kay,OTF,,,,Delphinus delphis BD3B,ASEBD3B,30-Jan-1987 BD3B | JanBD3B 1987BD3B,BD3B Clicks and whistles with sideband structure.,12-Feb-92,,,Bow riding BD3B,Balaenoptera borealis AC1B,5 + BD3B,"4 mi. NE Isla de Lobos, Canary Is. BD3B",N28BD3B W013BD3B,,IDA Z,WAW,"CD #9, 10 | Shiv",6 | 96,"Cruise ship in area, wind 10 kts. WNW, seas 2-3ft.",Ithaco 602M108 hydrophones ; Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,FMBD3B | BSBD3B | PUBD3B | Whistles BD3B | Clicks BD3B,53
7900200U,400 B56.0 0.7062,21B,5120,3.366,Pemtek/ Kay,OF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Six pulsed sounds. Cut made from RN 7900200n and cropped for use in Accustat.,19-Aug-02,,,,,2 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,79.2,102.7,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87003005,105 B23.7 17.03,21B,81920,1.891,Pemtek/ Kay,OTF,,,,Delphinus delphis BD3B,ASEBD3B,30-Jan-1987 BD3B | JanBD3B 1987BD3B,BD3B Clicks and whistles with sideband structure.,12-Feb-92,,,Bow riding BD3B,Balaenoptera borealis AC1B,5 + BD3B,"4 mi. NE Isla de Lobos, Canary Is. BD3B",N28BD3B W013BD3B,,IDA Z,WAW,"CD #9, 10 | Shiv",6 | 96,"Cruise ship in area, wind 10 kts. WNW, seas 2-3ft.",Ithaco 602M108 hydrophones ; Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,FMBD3B | BSBD3B | PUBD3B | Whistles BD3B | Clicks BD3B,52
7900200Z,626 B56.0 29.92,21B,5120,2.162,Pemtek/ Kay,OF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good seven pulsed sounds. Cut made from RN 7900200p and cropped for use in Accustat.,19-Aug-02,,,,,1 or 2 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,77.4,102.9,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102300A,17 B23.75 10.97,11A,81920,2.106,Crown 4-ch/ K-H L0.5 H30,OTF,,,,Pseudorca crassidens BE9A,ANWBE9A,3-Aug-1961 BE9A | AugBE9A 1961BE9A,BE9A 2 tonal whistles; clicks through center of whistles. Good cut.,11-Aug-93,,,,,2 BE9A,Western North Atlantic BE9A,N38BE9A W072BE9A,,BEAR 265,WAW,"CD #1, 2 | Shiv",,,AX-58 hydrophone | Crown tape recorder | WHOI transistor amplifier,,BSBE9A | NLBE9A | Clicks BE9A | Whistles BE9A,24
79002010,626 B56.0 29.92,21B,5120,2.353,Pemtek/ Kay,OF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good seven pulsed sounds. Cut made from RN 7900200p and cropped for use in Accustat.,19-Aug-02,,,,,1 or 2 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,90.3,102.9,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102300C,17 B23.75 15.64,11A,81920,1.372,Crown 4-ch/ K-H L0.5 H30,OTF,,,,Pseudorca crassidens BE9A,ANWBE9A,3-Aug-1961 BE9A | AugBE9A 1961BE9A,BE9A 2 tonal whistles; clicks through center of whistle. Good cut.,11-Aug-93,,,,,2 BE9A,Western North Atlantic BE9A,N38BE9A W072BE9A,,BEAR 265,WAW,"CD #1, 2 | Shiv",,,AX-58 hydrophone | Crown tape recorder | WHOI transistor amplifier,,BSBE9A | NLBE9A | Clicks BE9A | Whistles BE9A,25
79002011,626 B56.0 29.92,21B,5120,1.781,Pemtek/ Kay,OF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good seven pulsed sounds. Cut made from RN 7900200p and cropped for use in Accustat.,19-Aug-02,,,,,1 or 2 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,80.5,100.1,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102300D,17 B23.75 17.38,11A,81920,1.147,Crown 4-ch/ K-H L0.5 H30,OTF,,,,Pseudorca crassidens BE9A,ANWBE9A,3-Aug-1961 BE9A | AugBE9A 1961BE9A,BE9A Tonal whistles; clicks through center of whistle. Good cut.,11-Aug-93,,,,,2 BE9A,Western North Atlantic BE9A,N38BE9A W072BE9A,,BEAR 265,WAW,"CD #1, 2 | Shiv",,,AX-58 hydrophone | Crown tape recorder | WHOI transistor amplifier,,BSBE9A | NLBE9A | Clicks BE9A | Whistle BE9A,26
79002013,626 B56.0 29.92,21B,5120,1.971,Pemtek/ Kay,OF,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good seven pulsed sounds. Cut made from RN 7900200p and cropped for use in Accustat.,19-Aug-02,,,,,1 or 2 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv | Ready for Accustat CD",,,,,BLAA3B PUAA3B | Moans AA3B,74.4,99.6,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95003004,1:46.866-2:2.363,1,80000,15.496,Pemtek 110/K-H L1.5 H21.0,,,,,Pseudorca crassidens BE9A,ASWBE9A,1-May-1995 BE9A | MayBE9A 1995BE9A,"BE9A Tape 3. Cut made for 'Best of Pseudorca crassidens' CD series Tape filtered at L1.5 kHz and H21.0 kHz to remove ship noise, but electrical noise still present. Tape restreamed from 95003ch2.kay on CD for additional filtering, so cue times are approximate.",20-May-03,,,,,,Dominica BE9A,N15BE9A W061BE9A,1057 BE9A,Abel-J,WAW,Shiv | Sound Cut 1 CD | 'Best of Pseudorca crassidens' CD,"10, 10, 10, 40",,"Pemtek recorder, ITC hydrophones, Ithaco amps.",,,53
,,,,,,,,,,Balaenoptera physalus,,,,,,,,,,,,,,,,,,,,,90.5,95.1,74.33333333,88.84444444,"47,500",https://www.youtube.com/watch?v=w2RQYSCtsSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95003008,26.174-26.894,1,80000,0.72,Pemtek 110/K-H L1.5 H21.0,,,,,Pseudorca crassidens BE9A,ASWBE9A,1-May-1995 BE9A | MayBE9A 1995BE9A,"BE9A Tape 3. Cut made for 'Best of Pseudorca crassidens' CD series Tape filtered at L1.5 kHz and H21.0 kHz to remove ship noise, but electrical noise still present. Tape restreamed from 95003ch2.kay on CD for additional filtering, so cue times are approximate.",20-May-03,,,,,,Dominica BE9A,N15BE9A W061BE9A,1057 BE9A,Abel-J,WAW,Shiv | Sound Cut 1 CD | 'Best of Pseudorca crassidens' CD,"10, 10, 10, 40",,"Pemtek recorder, ITC hydrophones, Ithaco amps.",,,57
,,,,,,,,,,Balaenoptera physalus,,,,,,,,,,,,,,,,,,,,,81.3,94.4,74.33333333,88.84444444,"47,500",https://www.youtube.com/watch?v=yurmOoHvWkU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60009005,0 B14:18.536 1:33.811,11B,600,44.201,Crown-4CH/ K-H H0.22,OF,,,,Balaenoptera physalus AC1F,ANWAC1F,20-Dec-1960 AC1F | DecAC1F 1960AC1F,AC1F N43 01' W070 10' 4+ 21 Hz moans--4 close + others more distant. 60 Hz throughout.,28-Dec-94,,,,,3 AC1F,Gulf of Maine AC1F,N43AC1F W070AC1F,1430 AC1F,Captain Bill III,WAW,"CD #5, 6 | Shiv",,60 Hz noise,AX 58 hydrophones | WHOI 450 amplifiers | Crown tape recorder,,NLAC1F | 20 Hz moan AC1F,1
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,92.4,105.7,91.9,103.65,"154,000",https://www.youtube.com/watch?v=Qseb4IVnOv8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60009006,0 B14:18.536 2:31.776,11B,600,35.428,Crown-4CH/ K-H H0.22,OF,,,,Balaenoptera physalus AC1F,ANWAC1F,20-Dec-1960 AC1F | DecAC1F 1960AC1F,AC1F N43 01' W070 10' 6+ 21 Hz moans--3 close + 3+ more distant. Good cut. 60 Hz throughout.,28-Dec-94,,,,,3 AC1F,Gulf of Maine AC1F,N43AC1F W070AC1F,1430 AC1F,Captain Bill III,WAW,"CD #5, 6 | Shiv",,60 Hz noise,AX 58 hydrophones | WHOI 450 amplifiers | Crown tape recorder,,NLAC1F | 20 Hz moan AC1F,2
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,83.2,95.8,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61047009,1086 B19:13.136 7:22.768,11B,600,93.013,Crown-4CH/K-H H0.22,OTF,,,,Balaenoptera physalus AC1F | Transient ship noise X,ANWAC1F ANWX,13-Sep-1961 AC1F X | SepAC1F 1961AC1F | SepX 1961X,AC1F X N42 14.6' W070 04.5' 8 21 Hz moans. Transient ship noise at higher frequencies.,8-Dec-94,,,,Megaptera novaeangliae AC2A,2 AC1F,Georges Bank AC1F X,N42AC1F W070AC1F,0705 AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv",,,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",,NLAC1F | NLX | Transient ship noise X | 20 Hz moan AC1F,8
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,86.4,98.3,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78014009,322,21B,640,32,Pemtek/ Kay,OF,,,,Balaenoptera physalus AC1F,ANWAC1F,11-Oct-1978 AC1F | OctAC1F 1978AC1F,AC1F Five close 20 Hz sounds #28- 32 & some distant sounds.,28-Jan-92,,,Feeding AC1F,Aves I | Balaenoptera acutorostrata AC1A | Megaptera novaeangliae AC2A,2 + AC1F,E of Stellwagen Bank AC1F,N42AC1F W070AC1F,,Dolphin III,WAW,"CD #9, 10 | Shiv",5,,"WHOI/Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,NLAC1F | 20 Hz AC1F,50
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,98.3,110.2,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7801400A,347,21B,640,32,Pemtek/ Kay,OF,,,,Balaenoptera physalus AC1F,ANWAC1F,11-Oct-1978 AC1F | OctAC1F 1978AC1F,AC1F Four close 20 Hz sounds #33- 36 & some distant sounds.,28-Jan-92,,,Feeding AC1F,Aves I | Balaenoptera acutorostrata AC1A | Megaptera novaeangliae AC2A,2 + AC1F,E of Stellwagen Bank AC1F,N42AC1F W070AC1F,,Dolphin III,WAW,"CD #9, 10 | Shiv",5,,"WHOI/Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,NLAC1F | 20 Hz AC1F,51
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,97.4,107.5,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9100800F,22:45.695-22:56.105,41B,60600,10.409,Pemtek 110/K-H 28.0L,,,,,Lagenodelphis hosei BD5A,ASWBD5A,26-Oct-1991 BD5A | 1991BD5A OctBD5A,"Cut made from CD 91012C12B, channel 2 Cut made for Vincent Janik looking for chorusing behavior. Repeating whistles-chorusing?",28-Sep-05,,,,,,"SW of Scott Head, Dominica BD5A",N15BD5A W061BD5A,1525 BD5A,Abel-J,W.A.Watkins,CD Sound Cut 1 | Shiv,"10, 10, 10, 100",Noisy sailboat motor in area,"Ithaco 602M108 hydrophones, Ithaco 451 amplifiers, WHOI/Pemtek tape recorder",,,10
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,95.5,104.2,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101002B,10:19.727-10:44.234,41B,60600,24.506,Pemtek 110/K-H L28.0,,,,,Lagenodelphis hosei BD5A | Ship noise X,ASWBD5A ASWX,26-Oct-1991 BD5A X | 1991BD5A OctBD5A | 1991X OctX,"Cut made from CD 91012C12B, channel 2 Cut made for Vincent Janik looking for chorusing behavior. Multiple whistles.",28-Sep-05,,,,,,"Prince Rupert Bluff, Dominica BD5A X",N15BD5A W061BD5A,1629 - 1731 BD5A,Abel-J,W.A.Watkins,CD Sound Cut 1 | Shiv,,,,,,50
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,93.1,105.5,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101002C,11:8.741-11:30.609,41B,60600,21.867,Pemtek 110/K-H L28.0,,,,,Lagenodelphis hosei BD5A | Ship noise X,ASWBD5A ASWX,26-Oct-1991 BD5A X | 1991BD5A OctBD5A | 1991X OctX,"Cut made from CD 91012C12B, channel 2 Cut made for Vincent Janik looking for chorusing behavior. Multiple whistles.",28-Sep-05,,,,,,"Prince Rupert Bluff, Dominica BD5A X",N15BD5A W061BD5A,1629 - 1731 BD5A,Abel-J,W.A.Watkins,CD Sound Cut 1 | Shiv,,,,,,51
,,,,,,,,,,Balaenoptera musculus,,,,,,,,,,,,,,,,,,,,,88.9,102,91.9,103.65,"154,000",https://en.wikipedia.org/wiki/List_of_whale_vocalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101301P,20:6.779-20:35.104,41B,60600,28.324,Pemtek 110/K-H 28.0L,,,,,Lagenodelphis hosei BD5A,ASWBD5A,28-Oct-91 BD5A | 1991BD5A OctBD5A,"Cut made from CD 91012C12B, channel 2 Cut made for Vincent Janik looking for chorusing behavior. Multiple upsweeps-chorusing?",28-Sep-05,,,Feeding at surface BD5A,,10+ BD5A,"N of Scott Head, Dominica BD5A",N15BD5A W061BD5A,1020 - 1025 BD5A,Abel-J,W.A.Watkins,Shiv | Sound Cut 1 CD,"10, 10, 10, 100","Silent ship, C & D phones on stbd. side of Abel-J","Ithaco 602M108 hydrophones, Ithaco 451 amplifiers, WHOI/Pemtek tape recorder",,,88
75014002,20 B23 20.54,11A,81920,1.89,Pemtek/ Kay,OTF,,,,Monodon monoceros BB2A,ANWBB2A,09-Aug-1975 BB2A | AugBB2A 1975BB2A,BB2A Click series and long moan.,6-Feb-92,,,,,3 + BB2A,"Koluktoo Bay, N. Baffin Island BB2A",N70BB2A W078BB2A,,SM,John Ford,"CD #9, 10 | Univ. of B.C., Vancouver, B.C.",4,,"Atlantic Research BC-50 hydrophone, Nagra III tape recorder, preamp. Watkins",,NLBB2A NSBB2A SEBB2A | Moan BB2A | Clicks BB2A,95.6,85.2,90.075,97.8375,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101301O,19:11.6879-19:36.203,41B,60600,24.515,Pemtek 110/K-H 28.0L,,,,,Lagenodelphis hosei BD5A,ASWBD5A,28-Oct-91 BD5A | 1991BD5A OctBD5A,"Cut made from CD 91012C12B, channel 2 Cut made for Vincent Janik looking for chorusing behavior.",28-Sep-05,,,Feeding at surface BD5A,,10+ BD5A,"N of Scott Head, Dominica BD5A",N15BD5A W061BD5A,1020 - 1025 BD5A,Abel-J,W.A.Watkins,Shiv | Sound Cut 1 CD,"10, 10, 10, 100","Silent ship, C & D phones on stbd. side of Abel-J","Ithaco 602M108 hydrophones, Ithaco 451 amplifiers, WHOI/Pemtek tape recorder",,,87
